name,int_code
مصرف أبو ظبي الأسلامي- مصر,EGS60111C019
مطاحن شرق الدلتا,EGS30351C018
مطاحن مصر العليا,EGS30451C016
مطاحن مصر الوسطي,EGS30401C011
مطاحن وسط وغرب الدلتا,EGS30421C019
مطاحن ومخابز الاسكندرية,EGS30471C014
مطاحن ومخابز جنوب القاهرة والجيزة,EGS30411C010
مطاحن ومخابز شمال القاهرة,EGS30361C017
ممفيس للادوية والصناعات الكيماوية,EGS38351C010
مينا فارم للأدوية و الصناعات الكيماوية,EGS380G1C011
مينا للاستثمار السياحي والعقاري,EGS65441C015
نهر الخير للتنمية والأستثمار الزراعى والخدمات البيئية,EGS02291C010
وادي كوم امبو لاستصلاح الاراضي,EGS01071C017
وثائق شركة صندوق استثمار المصريين للاستثمار العقارى,EGS694B1C017
وثائق صندوق استثمار أودن للاستثمار في الاسهم المصرية -كسب,EGS696Z1C017
يو للتمويل الاستهلاكى,EGS505Z1C018
يونيفرسال لصناعة مواد التعبئة و التغليف و الورق - يونيباك,EGS38161C013
